Title,Genre,Actor,Director,Musician,Photography,Producer,Writer,"Release Year",Studio,"Release Date",Language,Country,Color,Runtime,Region,"IMDb Url",Plot,"IMDb Rating","Audience Rating"
"The Adventure of Denchu-Kozo","Comedy, Horror, Science Fiction","Kei Fujiwara, Nobu Kanaoka, N. Senba","Shin'ya Tsukamoto",,,,"Shin'ya Tsukamoto",1987,,1987,Japanese,Japan,Color,47,,https://www.imdb.com/title/tt0166069/?ref_=ref_ext_clz,"Hikari is a boy who is bullied and teased by the other boys at school because he has the odd distinction of having an electricity pole growing out of his back. However, one of his classmates, a girl named Momo, comes to his rescue. Hikari thanks her by sharing his secret possession with her: a time machine. He then activates the time machine which transports him 25 years into a dark, dystopian, world of the future. There he encounters members of the Shinsengumi Vampire Gang in the process of hunting a woman named Dr. Sariba who is revealed to be Momo's future self. She explains to Hikari that she had been long expecting his arrival from the past and that he has a crucial role to play here -- he and he alone must save the world.",6.6,
"Bullet Ballet","Crime, Drama, Science Fiction, Thriller","Shin'ya Tsukamoto, Kirina Mano, Tatsuya Nakamura","Shin'ya Tsukamoto","Chu Ishikawa","Shin'ya Tsukamoto","Igarashi Maison","Shin'ya Tsukamoto",1998,"Kaijyu Theater",1998,Japanese,Japan,Color,87,,https://www.imdb.com/title/tt0163563/?ref_=ref_ext_clz,"After his girlfriend commits suicide, a man (Shinya Tsukamoto) becomes embroiled in gang warfare attempting to obtain a gun in hopes to kill himself.",7.1,
"Day of the Animals","Horror, Science Fiction, Thriller","Christopher George, Leslie Nielsen, Lynda Day George","William Girdler","Lalo Schifrin","Robert Sorrentino","Edward L. Montoro, David Sheldon","William W. Norton, Eleanor E. Norton, Edward L. Montoro",1977,,1977,English,USA,Color,97,,https://www.imdb.com/title/tt0075913/?ref_=ref_ext_clz,"The depletion of the earth's ozone layer causes animals above the altitude of 5000 feet to run amok, which is very unfortunate for a group of hikers who get dropped off up there by helicopter just before the quarantine is announced.",5.3,"US - PG"
"Days of Thunder","Action, Drama, Sports","Tom Cruise, Robert Duvall, Nicole Kidman","Tony Scott","Hans Zimmer","Ward Russell","Jerry Bruckheimer, Gerald R. Molen, Don Simpson","Robert Towne, Tom Cruise",1990,"Paramount Pictures",1990,English,USA,Color,107,"Region Free",https://www.imdb.com/title/tt0099371/?ref_=ref_ext_clz,"Talented but unproven stock car driver Cole Trickle gets a break and with the guidance of veteran Harry Hogge turns heads on the track. The young hotshot develops a rivalry with a fellow racer that threatens his career when the two smash their cars. But with the help of his doctor, Cole just might overcome his injuries-- and his fear.",6,"US - PG-13"
"Deep Blood","Adventure, Horror","Frank Baroni, Cort McCown, Keith Kelsch","Raffaele Donato, Joe D'Amato","Carlo Maria Cordio","Joe D'Amato",,"George Nelson Ott",1990,Filmirage,1990,Italian,Italy,Color,95,,https://www.imdb.com/title/tt0097178/?ref_=ref_ext_clz,"Several young men have to stop an ancient native American evil in the form of a killer shark which is attacking a small beach community.",3.2,
Grizzly,"Adventure, Horror, Thriller","Christopher George, Andrew Prine, Richard Jaeckel","William Girdler","Robert O. Ragland","William L. Asman","Lloyd N. Adams Jr., Harvey Flaxman, Lee S. Jones Jr.","Harvey Flaxman, David Sheldon, Andrew Prine",1976,"Hollywood West Entertainment",1976,English,USA,Color,91,,https://www.imdb.com/title/tt0074593/?ref_=ref_ext_clz,"An eighteen-foot grizzly bear figures out that humans make for a tasty treat. As a park ranger tries rallying his men to bring about the bear's capture or destruction, his efforts are thwarted by the introduction of dozens of drunken hunters into the area.",5.2,"US - PG"
Haze,"Horror, Mystery","Shin'ya Tsukamoto, Takahiro Murase, Takahiro Kandaka","Shin'ya Tsukamoto","Chu Ishikawa","Shin'ya Tsukamoto","Shin'ichi Kawahara, Shin'ya Tsukamoto","Shin'ya Tsukamoto",2005,"Gold View Company",2005,Japanese,Japan,Color,49,,https://www.imdb.com/title/tt0491399/?ref_=ref_ext_clz,"A man awakes to find himself trapped in a dirty, confined crawlspace. He barely has enough room to move. He also has no memory of why he’s there, or why he’s bleeding from a stomach wound. Apparently drugged, he occasionally ‘zones out’ of his surroundings as he tries to edge towards his way to freedom. But the more he explores, the more pain he has to endure, and the more frightening his predicament becomes.",6.6,
Killing,"Action, Drama","Shin'ya Tsukamoto, Yû Aoi, Sosuke Ikematsu","Shin'ya Tsukamoto",,"Satoshi Hayashi, Shin'ya Tsukamoto","Shin'ya Tsukamoto","Shin'ya Tsukamoto",2018,"Shin Nippon Films",2018,Japanese,Japan,Color,80,,https://www.imdb.com/title/tt7117352/?ref_=ref_ext_clz,"In Edo period Japan, a lone ronin spends time in a village helping the farmers tend to their land. To keep his sword skills sharp, he spars daily with a farmer's son. Meanwhile, the nation is in the midst of major unrest with civil war on the horizon. One day, a group of outlaw ronin enters the village.",6.4,
Kotoko,"Drama, Horror","Shin'ya Tsukamoto, Yuko Nakamura, Cocco","Shin'ya Tsukamoto",Cocco,"Satoshi Hayashi, Shin'ya Tsukamoto","Cocco, Kiyo Joo, Keiko Kusakabe","Cocco, Shin'ya Tsukamoto",2011,"Kaijyu Theater",2011,Japanese,Japan,Color,91,,https://www.imdb.com/title/tt1842532/?ref_=ref_ext_clz,"A single mother (Cocco) becomes afflicted with double vision. Taking care of her newborn baby becomes a nightmare as the mother also becomes paranoid. The only time the mother doesn't see double is when she sings. She also finds solace in cutting herself, allowing her blood to drip free and able to feel alive. A terrifying nervous breakdown ensues. When things spiral out of control, her baby is taken away. She then rides a bus and sings to herself. A man (Shinya Tsukamoto) sitting nearby listens to her wonderful voice. He begins to stalk her. The man is an award winning novelist who has fallen in love with the woman. They begin a volatile relationship. The woman's paranoia a",6.7,
"A Snake of June","Drama, Horror, Mystery, Thriller","Asuka Kurosawa, Yûji Kôtari, Shin'ya Tsukamoto","Shin'ya Tsukamoto","Chu Ishikawa","Shin'ya Tsukamoto","Shin'ichi Kawahara, Keiko Kusakabe, Shin'ya Tsukamoto","Shin'ya Tsukamoto",2002,"Kaijyu Theater",2002,Japanese,Japan,"Black & White",77,,https://www.imdb.com/title/tt0330904/?ref_=ref_ext_clz,"Rinku is a suicide-prevention counselor, living with her husband Shigehiko. He's older than she, scrubbing things constantly, sexually indifferent. They sleep apart. During Tokyo's rainy season, Iguchi, a photographer Rinku has counseled by phone, sends her pictures he has taken through her skylight: she's wearing a short skirt, masturbating. He offers her the negatives if she'll follow his instructions. She's humiliated and agrees. He tells her he's only giving her license to express her inner desires. He sends her into the night to walk on the wild side. Then, she asks a favor of him, and soon her husband receives phone calls and photographs. Where will this triangle lead?",6.9,"US - R"
